DOC_ID,LABEL,RATING,VERIFIED_PURCHASE,PRODUCT_CATEGORY,PRODUCT_ID,PRODUCT_TITLE,REVIEW_TITLE,REVIEW_TEXT
2313,__label1__,3,N,Shoes,B001NIZ7OC,"Sunbelt Men's Neptune 190 Polarized Sunglasses,Gunmetal Frame/Grey Lens Frame/Grey Lens,one size",Happy with my purchase,Just received my pair of sunglasses in the mail and love it! It came in a case with a cleaning cloth. I was amazed with how nice it was and how quickly I received them! Very happy with my purchase :)
16846,__label2__,4,Y,Electronics,B000RSOV50,La Crosse Technology BC-700 Alpha Power Battery Charger,Amazing Charger. Almost everything!!!,This charger brought back to life over two dozen Energizer batteries that my normal Energizer charger wouldn't recharge. The charge/discharge process brought the batteries back to life and gave an estimate of their capacity (mAh). It also offers multiple charging rates and defaults to the slow charge which is best for the long-term life of the battery. The only thing I would love is a backlight for the display.
6106,__label1__,5,N,PC,B00MJKE0AU,Wacom Intuos Pen Small Tablet (CTL480) (Certified Refurbished),5 star!,I bought this to doodle around a little bit on my laptop and I have to say this thing is frickin' awesome! It has a really smooth cursor so you can draw a straight line with out having to be messed up. Also it is really good for writing little notes for your self and then bring it to the grocery store. All in all this product is very good with its low price. Must have.
18083,__label2__,1,Y,Toys,B0007YDBKK,Disney Mickey Pencil Holder,Junk,Item came broken.  Mickey was off the base.  I tried to glue it myself.  I glued it and pulled on one of the legs as I did it and it broke.  I threw thing thing right in the trash.  Pure garbage.
11336,__label2__,2,Y,Furniture,B00DPJ4W1Q,"Big Joe Cuddle Chair, Spicy Lime",Not enough tushie space,"I researched for weeks for a cuddle spot for my 2yo's gated area. I loved everything about this seat until it came. The seat depth was so small and over stuffed that she slid out. If I had kept it, I'm sure the filling would have compacted to make a nice seat, but it didn't work for us. I returned this and have started looking at dorm pillows instead."
17678,__label2__,5,Y,Kitchen,B003ZHU8M0,Cuisipro Surface Glide Technology 4-Sided Boxed Grater,Ultimate hand grater!,This is simply the most fabulous hand grater I have ever owned. Very sharp: food just glides across the grater with minimal pressure and yields perfect results.  I was hesitant to purchase because of the price.  But it is worth every penny!
1093,__label1__,4,N,Lawn and Garden,B001UQ6WKU,Makita BUB182Z 18-Volt LXT Lithium-Ion Cordless Blower - Bare-tool,Excellent product,"Very useful product for cleaning PC, windows, curtains. Its a do it yourself easy product for house wives and home makers."
8365,__label1__,5,N,Video DVD,B008645XS6,Silenced,Moving,I have watched this movie when I was in Korea. I ordered my own copy because I wanted to keep a copy of this amazing heart warming movie. It's based on a real story that is why it's very interesting. I really cried when i watched it and makes me feel very angry to all people who treats children like this. I think if everyone watch this their perception of life will change. I will definitely recommend this to all!
18551,__label2__,1,Y,Musical Instruments,B00E1P3C5U,"Jack Mount - Aluminum, For Tele",Disappointing Product,This is a very cheap product.  Threading was too big for &#34;ALL&#34; of my 1/4&#34; jacks and I am forced to throw the 3 mounts that I bought away.  Material is of cheap nickel material which scratches easility and is fairly disappointing.  Will not purchase this product again and I advise you to do the same.
11424,__label2__,5,Y,Video DVD,B00007GZS0,A.M. & P.M. Yoga - Conditioning For Weight Loss,Perfect....,The morning routine is just the right amount of stretching and strengthening.  The evening one helps me wind down but also keep toned and in shape.  I have been doing these for 6 months and have noticed a drop in dress size and my upper body is stronger.  I gave my daughter in law this yoga tape and she also loves it.
6758,__label1__,5,N,Toys,B006HDQLQQ,Double Horse 3.5CH Large Size Outdoor 9053G Gyroscope Equipped Large Size RTF RC Helicopter by Velocity Toys,Huge! We love it!,very fun for the whole entire family. Can fly indoor or outdoors if you prefer. Battery last for quite some time. very educational for the kids. i have this for almost a month now with no problems.
12894,__label2__,5,Y,Camera,B0055E8HZG,Micover Slipover Windscreen for RODE VideoMic VM,AMAZING.,Great. The best one in the market. Looks amazing and works perfectly. Do not search anymore. This is the one.
17447,__label2__,5,Y,Home Entertainment,B00BUCLVZU,TiVo Mini with IR Remote (Old Version),I have been pretty happy with these,"I have been pretty happy with these. I have two. My cable company recently removed any programming from any TV without renting a box from them. This allows me to do anything the Tivo will do in other rooms. It does take a tuner while in use so if you have four tuners like me, you can only use three on the tivo while watching live TV on a mini. It does release the tuner when not using it. That is a new thing that was not available on my Tivo when I bought it."
11824,__label2__,5,Y,Shoes,B001HN6S7I,"Madden Girl Women's Sanguine Boot,Brown Paris,7.5 M US",Super Cute,My first paitr of cow boy boots and I Love these!! Very rich looking and comfy. I ordered a size 7.5 and they have lil room but wearing socks and they are great!!! I bought the brown and now want the black as well.
4773,__label1__,5,N,Home Improvement,B00BNGY7E0,Vault Locks 3200 Key Storage Lock Box with Set Your Own Combination,Very secure,Shocked at how heavy duty and secure this lock box is. Fits 5 of my keys no problem. Will buy these in the future instead of the expensive Masterlock ones. Same functionality as Masterlock for cheaper.
